,title,link,pre_text,firm,id,date
0,강남 입주 단지들 전세가격은 하락하겠죠?,https://www.teamblind.com/kr/post/%EA%B0%95%EB%82%A8-%EC%9E%85%EC%A3%BC-%EB%8B%A8%EC%A7%80%EB%93%A4-%EC%A0%84%EC%84%B8%EA%B0%80%EA%B2%A9%EC%9D%80-%ED%95%98%EB%9D%BD%ED%95%98%EA%B2%A0%EC%A3%A0-l36txxub,전세가격 15억 정도 하는 단지들은 대부분 전세자금대출 받아 들어가는데 신규입주 전세자금은 이제 불가하니 잔금이 급한 사람들이 낮춰 내놓겠죠??,퀄컴코리아 , t****,2025-07-02
1,자본주의 불평등의 원인과 해결 - 보유세 (feat. 진보와 빈곤),https://www.teamblind.com/kr/post/%EC%9E%90%EB%B3%B8%EC%A3%BC%EC%9D%98-%EB%B6%88%ED%8F%89%EB%93%B1%EC%9D%98-%EC%9B%90%EC%9D%B8%EA%B3%BC-%ED%95%B4%EA%B2%B0---%EB%B3%B4%EC%9C%A0%EC%84%B8-feat-%EC%A7%84%EB%B3%B4%EC%99%80-%EB%B9%88%EA%B3%A4-su7gq7k2,"아래 내용은 1879년에 발행된 미국 정치경제학자 헨리 조지의 ‘진보와 빈곤’ 중 일부 내용임. 경제이론에서 생산함수 f(노동, 자본, 토지, 기술발전) 중, 자본가격(이자율)은 중앙은행에 의해, 노동가격은 인구수등 여러 수요공급에 의해 결정되고 있는데 반해, 토지임대료(지대)는 한정된 공급에 인플레이션의 반영 + 선점자 지위 + 국가개발 수혜 등으로 지속적으로 가격 상승이 됨 결국 토지와 기술기업이 한정된 자원(토지,기술)에 선점효과로 빈부격차를 늘리는 주 원인이 될것이라는 생각이고, 이에 대한 세금을 통해 격차를 해소하는게",신한투자증권 , i*******,2025-07-02
2,DSR 40% 맞추려고 40년50년 이렇게 받는게 건강한건가..,https://www.teamblind.com/kr/post/DSR-40-%EB%A7%9E%EC%B6%94%EB%A0%A4%EA%B3%A0-40%EB%85%8450%EB%85%84-%EC%9D%B4%EB%A0%87%EA%B2%8C-%EB%B0%9B%EB%8A%94%EA%B2%8C-%EA%B1%B4%EA%B0%95%ED%95%9C%EA%B1%B4%EA%B0%80-634e5vh1,tqqq 40년 장투하라는 소리잖아,경기도청 , 1*********,2025-07-02
3,6억대출 제한은 공급대책 이라고 ㅋㅋㅋ,https://www.teamblind.com/kr/post/6%EC%96%B5%EB%8C%80%EC%B6%9C-%EC%A0%9C%ED%95%9C%EC%9D%80-%EA%B3%B5%EA%B8%89%EB%8C%80%EC%B1%85-%EC%9D%B4%EB%9D%BC%EA%B3%A0-%E3%85%8B%E3%85%8B%E3%85%8B-1efatiok,지금 재건축 해야할 아파트 넘쳐나는데 양극화로 상급지만 올라가고 하급지는 안오르니 하급지도 재건축 가능한 금액대로 풍선호과 만들어 주는거라고 왜케 눈치들이 없냐 ㅋㅋㅋㅋ 거기서 세금 나오는거 먹는건 덤이고 빼액 거리는 애들은 25만원 한번씩 더 주면 조용히질거니깐,새회사 , !********,2025-07-02
4,주담대 약정 체결 후 실행,https://www.teamblind.com/kr/post/%EC%A3%BC%EB%8B%B4%EB%8C%80-%EC%95%BD%EC%A0%95-%EC%B2%B4%EA%B2%B0-%ED%9B%84-%EC%8B%A4%ED%96%89-yhp3olzd,주담대 전자약정했고 현장조사 할 수 있다고 전화왔는데 약정했으니 현장조사 문제없으면 실행된다고 보면 되나요? 뭐 절차 설명이나 이런게 없어서.. 심사완료 후 약정했으니 맘 놓고 있어도 되는지 모르겠네요,삼성전자 , k*****,2025-07-02
5,지금 화 많이 나있는 새끼가,https://www.teamblind.com/kr/post/%EC%A7%80%EA%B8%88-%ED%99%94-%EB%A7%8E%EC%9D%B4-%EB%82%98%EC%9E%88%EB%8A%94-%EC%83%88%EB%81%BC%EA%B0%80-g63o5wfx,쫄리는 새끼임 ㅋㅋㅋㅋㅋ,공무원 , j********,2025-07-02
6,한국 부동산은 여전히 싸고 우상향할 수 밖에 없음,https://www.teamblind.com/kr/post/%ED%95%9C%EA%B5%AD-%EB%B6%80%EB%8F%99%EC%82%B0%EC%9D%80-%EC%97%AC%EC%A0%84%ED%9E%88-%EC%8B%B8%EA%B3%A0-%EC%9A%B0%EC%83%81%ED%96%A5%ED%95%A0-%EC%88%98-%EB%B0%96%EC%97%90-%EC%97%86%EC%9D%8C-d145efhw,"지방은 몰라도 서울,수도권은 계속 오를 수 밖에 없고 오늘이 제일 싸기 때문에 지금이라도 사는게 늦지 않은거임 1. 비싸다는 서울도 뉴욕,흥콩,런던 등에 비하면 굉장히 싼 편임 2. 한국에 돈 많은 부자들 생각보다 많음 3. 상속,증여 받는 젊은세대들이 미래 수요 받쳐줌 4. 인플레이션이 계속 되는 한 부동산 우상향함(M2 통화량에 비례) 5. 금리 인하 시 시장에 유동성 풍부해짐 6. 부동산이 계급화된 사회에서 신분상승 및 유지를 위해서라도 부동산에 대한 수요는 계속 생길 수 밖에 없음 부동산이 비싸다는건 능력없고 경제 상식 부",삼성전자 , n*********,2025-07-02
7,강남구 대출 6억이상 비중 56%,https://www.teamblind.com/kr/post/%EA%B0%95%EB%82%A8%EA%B5%AC-%EB%8C%80%EC%B6%9C-6%EC%96%B5%EC%9D%B4%EC%83%81-%EB%B9%84%EC%A4%91-56-tjfkqm8l,https://naver.me/x4Gk52x3 6월에 미친듯이 올랐는데 1~5월 강남구 56%가 6억이상대출이네 수치만 보면 생각보다 대출 많이 안받는다싶음 송파구 집값 평균 생각하면 6억이하로 대출받고 들어가기 쉽지않을것 같은데.. 역시 돈은 나만 없는가봄 ㅠㅠ,LG전자 , z*****,2025-07-02
8,폭등전에 집산 사람이 승리자다,https://www.teamblind.com/kr/post/%ED%8F%AD%EB%93%B1%EC%A0%84%EC%97%90-%EC%A7%91%EC%82%B0-%EC%82%AC%EB%9E%8C%EC%9D%B4-%EC%8A%B9%EB%A6%AC%EC%9E%90%EB%8B%A4-2btv4msc,23년도가 마지막이었지.. 아마..ㅋㅋ,DB손해보험 , g******,2025-07-02
9,갭투해놨는데 실거주하러 들어가야겠다,https://www.teamblind.com/kr/post/%EA%B0%AD%ED%88%AC%ED%95%B4%EB%86%A8%EB%8A%94%EB%8D%B0-%EC%8B%A4%EA%B1%B0%EC%A3%BC%ED%95%98%EB%9F%AC-%EB%93%A4%EC%96%B4%EA%B0%80%EC%95%BC%EA%B2%A0%EB%8B%A4-fcugn431,월세살이중인데 1억대출은 너무 리스크가 커서 내년에 계약끝나면 그냥 내가 들어가 살아야할듯,포스코이앤씨 , l*********,2025-07-02
